family,param,witness_S,R_g_sdp
control_dephasing,0.0000,0.54535106,0.54535106
control_dephasing,0.2000,0.39095987,0.39111718
control_dephasing,0.4000,0.23656867,0.23796739
control_dephasing,0.6000,0.08217748,0.10893301
control_dephasing,0.8000,-0.07221371,0.02838723
control_dephasing,1.0000,-0.22660490,0.00000000
white_visibility,1.0000,0.54535106,0.54535106
white_visibility,0.8000,0.32427691,0.34319473
white_visibility,0.6000,0.10320276,0.15018170
white_visibility,0.4000,-0.11787139,0.02448128
white_visibility,0.2000,-0.33894554,-0.00000000
white_visibility,0.0000,-0.56001969,-0.00000000
order_bias,0.0000,-0.22660490,0.00000002
order_bias,0.2000,0.39095987,0.39351464
order_bias,0.4000,0.52975438,0.52981006
order_bias,0.5000,0.54535106,0.54535106
order_bias,0.6000,0.52975438,0.52981006
order_bias,0.8000,0.39095987,0.39351465
order_bias,1.0000,-0.22660490,0.00000002
